Type,Count,Probability,Event Information
0x800,37453,0.999653018737,0.000500675014877
0x806,5,0.000133454331928,12.8713662434
0x86dd,8,0.000213526931084,12.1932943383
Source entropy
0.00482183759291
Max entropy
1.09861228867
