OpCode,Source,Destination,Count,Probability,Event Information
1, '192.100.100.34', '192.100.100.94',3,0.000599041533546,10.7050563462
1, '192.100.100.40', '192.100.100.1',5,0.000998402555911,9.96809075205
1, '192.100.100.50', '192.100.100.1',22,0.00439297124601,7.8305872283
1, '192.100.100.52', '192.100.100.1',28,0.0055910543131,7.48266392488
1, '192.100.100.52', '192.100.100.100',28,0.0055910543131,7.48266392488
1, '192.100.100.55', '192.100.100.1',22,0.00439297124601,7.8305872283
1, '192.100.100.55', '192.100.100.100',28,0.0055910543131,7.48266392488
1, '192.100.100.55', '192.100.100.11',4,0.000798722044728,10.2900188469
1, '192.100.100.55', '192.100.100.139',6,0.00119808306709,9.70505634621
1, '192.100.100.57', '192.100.100.1',2,0.000399361022364,11.2900188469
1, '192.100.100.57', '192.100.100.139',6,0.00119808306709,9.70505634621
1, '192.100.100.57', '192.100.100.27',5,0.000998402555911,9.96809075205
1, '192.100.100.57', '192.100.100.94',4,0.000798722044728,10.2900188469
1, '192.100.100.60', '192.100.100.1',10,0.00199680511182,8.96809075205
1, '192.100.100.60', '192.100.100.139',5,0.000998402555911,9.96809075205
1, '192.100.100.60', '192.100.100.27',4,0.000798722044728,10.2900188469
1, '192.100.100.65', '192.100.100.1',31,0.00619009584665,7.33582253655
1, '192.100.100.65', '192.100.100.11',35,0.00698881789137,7.16073582999
1, '192.100.100.65', '192.100.100.27',10,0.00199680511182,8.96809075205
1, '192.100.100.65', '192.100.100.34',1,0.000199680511182,12.2900188469
1, '192.100.100.65', '192.100.100.94',18,0.00359424920128,8.12009384549
1, '192.100.100.68', '192.100.100.1',22,0.00439297124601,7.8305872283
1, '192.100.100.68', '192.100.100.139',6,0.00119808306709,9.70505634621
1, '192.100.100.68', '192.100.100.141',2,0.000399361022364,11.2900188469
1, '192.100.100.68', '192.100.100.32',8,0.00159744408946,9.29001884693
1, '192.100.100.68', '192.100.100.59',140,0.0279552715655,5.16073582999
1, '192.100.100.68', '192.100.100.69',2,0.000399361022364,11.2900188469
1, '192.100.100.68', '192.100.100.84',2,0.000399361022364,11.2900188469
1, '192.100.100.68', '192.100.100.94',5,0.000998402555911,9.96809075205
1, '192.100.100.69', '192.100.100.1',1,0.000199680511182,12.2900188469
1, '192.100.100.69', '192.100.100.104',4,0.000798722044728,10.2900188469
1, '192.100.100.69', '192.100.100.110',1,0.000199680511182,12.2900188469
1, '192.100.100.69', '192.100.100.139',2,0.000399361022364,11.2900188469
1, '192.100.100.69', '192.100.100.68',2,0.000399361022364,11.2900188469
1, '192.100.100.69', '192.100.100.94',2,0.000399361022364,11.2900188469
1, '192.100.100.77', '192.100.100.10',733,0.146365814696,2.7723494588
1, '192.100.100.77', '192.100.100.11',3,0.000599041533546,10.7050563462
1, '192.100.100.77', '192.100.100.27',2,0.000399361022364,11.2900188469
1, '192.100.100.77', '192.100.100.30',3,0.000599041533546,10.7050563462
1, '192.100.100.77', '192.100.100.40',3,0.000599041533546,10.7050563462
1, '192.100.100.78', '192.100.100.1',32,0.00638977635783,7.29001884693
1, '192.100.100.78', '192.100.100.10',1547,0.308905750799,1.69476136548
1, '192.100.100.78', '192.100.100.100',28,0.0055910543131,7.48266392488
1, '192.100.100.78', '192.100.100.30',24,0.00479233226837,7.70505634621
1, '192.100.100.78', '192.100.100.32',2,0.000399361022364,11.2900188469
1, '192.100.100.78', '192.100.100.87',1,0.000199680511182,12.2900188469
1, '192.100.100.83', '192.100.100.1',19,0.00379392971246,8.04209133349
1, '192.100.100.83', '192.100.100.110',26,0.00519169329073,7.58957912879
1, '192.100.100.83', '192.100.100.142',28,0.0055910543131,7.48266392488
1, '192.100.100.83', '192.100.100.77',6,0.00119808306709,9.70505634621
1, '192.100.100.84', '192.100.100.100',28,0.0055910543131,7.48266392488
1, '192.100.100.84', '192.100.100.104',28,0.0055910543131,7.48266392488
1, '192.100.100.84', '192.100.100.110',1,0.000199680511182,12.2900188469
1, '192.100.100.84', '192.100.100.139',10,0.00199680511182,8.96809075205
1, '192.100.100.84', '192.100.100.68',2,0.000399361022364,11.2900188469
1, '192.100.100.87', '192.100.100.1',26,0.00519169329073,7.58957912879
1, '192.100.100.87', '192.100.100.100',22,0.00439297124601,7.8305872283
1, '192.100.100.87', '192.100.100.104',6,0.00119808306709,9.70505634621
1, '192.100.100.87', '192.100.100.11',27,0.00539137380192,7.53513134477
1, '192.100.100.87', '192.100.100.139',5,0.000998402555911,9.96809075205
1, '192.100.100.87', '192.100.100.78',1,0.000199680511182,12.2900188469
1, '192.100.100.94', '192.100.100.1',1,0.000199680511182,12.2900188469
1, '192.100.100.94', '192.100.100.27',1,0.000199680511182,12.2900188469
2, '192.100.100.1', '192.100.100.65',31,0.00619009584665,7.33582253655
2, '192.100.100.11', '192.100.100.65',35,0.00698881789137,7.16073582999
2, '192.100.100.27', '192.100.100.65',10,0.00199680511182,8.96809075205
2, '192.100.100.34', '192.100.100.65',1,0.000199680511182,12.2900188469
2, '192.100.100.65', '192.100.100.34',1,0.000199680511182,12.2900188469
2, '192.100.100.94', '192.100.100.65',18,0.00359424920128,8.12009384549
Source entropy
3.63227988634
Max entropy
4.96981329958
